recv,a_score,v_score,mid_aurora,fair_a,gap
1789924772.21755,2,3,0.525,0.495,0.03
1789924776.389693,2,3,0.545,0.495,0.05
1789924784.062338,2,3,0.55,0.495,0.055
1789924784.067883,2,3,,0.495,
1789924787.055964,2,3,0.53,0.495,0.035
1789924787.066582,2,3,0.53,0.495,0.035
1789924788.059076,2,3,0.51,0.495,0.015
1789924789.057281,2,3,0.51,0.495,0.015
1789924789.057791,2,3,,0.495,
1789924790.061176,2,3,0.52,0.495,0.025
1789924790.061683,2,3,,0.495,
1789924793.056674,2,3,0.52,0.495,0.025
1789924793.061239,2,3,0.515,0.495,0.02
1789924793.061743,2,3,,0.495,
1789924801.064074,2,3,0.495,0.495,-0.0
1789924803.059413,2,3,0.49,0.495,-0.005
1789924807.055907,2,3,0.49,0.495,-0.005
1789924807.056412,2,3,,0.495,
1789924807.067607,2,3,0.485,0.495,-0.01
1789924817.06426,2,3,0.45,0.495,-0.045
1789924817.064765,2,3,,0.495,
1789924823.054645,2,3,0.445,0.495,-0.05
1789924838.056755,2,3,0.46499999999999997,0.495,-0.03
1789924838.057257,2,3,,0.495,
1789924844.057563,2,3,0.475,0.495,-0.02
1789924848.054484,2,3,0.475,0.495,-0.02
1789924848.054988,2,3,,0.495,
1789924848.061574,2,3,0.475,0.495,-0.02
1789924848.062079,2,3,,0.495,
