t,bid_x,bid_sz_x,ask_x,ask_sz_x,bid_y,bid_sz_y,ask_y,ask_sz_y,ask_sum,bid_sum,ask_profit,bid_profit,viol,persist
2026-09-20 16:59:25.111876+00:00,0.999,1018218.96,0.88,0.0,0.12,0.0,0.001,1018050.01,0.881,1.119,0.0,0.0,True,60
2026-09-20 16:59:25.112389+00:00,0.999,1018218.96,0.88,0.0,0.12,0.0,0.001,1018218.96,0.881,1.119,0.0,0.0,True,59
2026-09-20 16:59:26.112965+00:00,0.999,1018092.33,0.88,0.0,0.12,0.0,0.001,1018218.96,0.881,1.119,0.0,0.0,True,58
2026-09-20 16:59:26.113479+00:00,0.999,1018092.33,0.88,0.0,0.12,0.0,0.001,1018092.33,0.881,1.119,0.0,0.0,True,57
2026-09-20 16:59:33.123495+00:00,0.999,1018090.37,0.88,0.0,0.12,0.0,0.001,1018090.37,0.881,1.119,0.0,0.0,True,56
2026-09-20 16:59:37.119615+00:00,0.999,1017992.08,0.88,0.0,0.12,0.0,0.001,1018090.37,0.881,1.119,0.0,0.0,True,55
2026-09-20 16:59:37.120123+00:00,0.999,1017992.08,0.88,0.0,0.12,0.0,0.001,1017992.08,0.881,1.119,0.0,0.0,True,54
2026-09-20 16:59:39.135311+00:00,0.999,1017989.86,0.88,0.0,0.12,0.0,0.001,1017989.86,0.881,1.119,0.0,0.0,True,53
2026-09-20 16:59:46.113961+00:00,0.999,1017950.45,0.88,0.0,0.12,0.0,0.001,1017989.86,0.881,1.119,0.0,0.0,True,52
2026-09-20 16:59:46.114470+00:00,0.999,1017950.45,0.88,0.0,0.12,0.0,0.001,1017950.45,0.881,1.119,0.0,0.0,True,51
2026-09-20 16:59:49.110348+00:00,0.999,1017551.57,0.88,0.0,0.12,0.0,0.001,1017551.57,0.881,1.119,0.0,0.0,True,50
2026-09-20 16:59:57.143280+00:00,0.999,1017210.38,0.88,0.0,0.12,0.0,0.001,1017551.57,0.881,1.119,0.0,0.0,True,49
2026-09-20 16:59:57.218796+00:00,0.999,1017210.38,0.88,0.0,0.12,0.0,0.001,1017210.38,0.881,1.119,0.0,0.0,True,48
2026-09-20 17:00:01.477540+00:00,0.999,1017200.23,0.88,0.0,0.12,0.0,0.001,1017210.38,0.881,1.119,0.0,0.0,True,47
2026-09-20 17:00:01.478045+00:00,0.999,1017200.23,0.88,0.0,0.12,0.0,0.001,1017200.23,0.881,1.119,0.0,0.0,True,46
