key,mtime,map,y,is_ct,side_prior,pistol_rate_gap,fk_gap,tk_gap,call_early_winrate,call_mid_winrate,call_early_alive_end,call_mid_alive_end,call_early_future_kill,call_mid_future_kill,form_gap
hltv_2389666_104141_furia_vs_vitality_m3_nuke,1770576742.0,de_nuke,0,1,0.4583333333333333,0.17448512585812354,-1.3877787807814457e-17,-0.014285714285714304,-0.15098947788166744,-0.020700530274176954,-0.07921428839695294,-0.05207360801638117,0.05823950941342271,-0.017101270847758532,-0.33685889847343337
hltv_2389666_104141_furia_vs_vitality_m4_overpass,1770581733.0,de_overpass,0,1,0.475,0.0,0.0,-0.020000000000000018,0.004525364594297976,-0.004988542759134629,-0.14036987772082704,-0.23584238873030966,-0.08748150018427714,-0.12327128891455408,-0.4683112407194617
hltv_2389666_104141_furia_vs_vitality_m4_overpass,1770581733.0,de_overpass,1,0,0.525,0.0,0.0,-0.020000000000000018,0.004525364594297976,-0.004988542759134629,-0.14036987772082704,-0.23584238873030966,-0.08748150018427714,-0.12327128891455408,-0.4683112407194617
hltv_2389948_104317_aurora_vs_fut_m1_mirage,1771061989.6006212,de_mirage,0,1,0.5178571428571429,0.0,0.06666666666666668,-1.3877787807814457e-17,0.18142935601633486,0.25133315187499117,-0.1109568845721342,-0.0790597014649182,-0.03064832841784837,-0.09079748939117638,-0.13226440328203357
hltv_2389948_104317_aurora_vs_fut_m1_mirage,1771061989.6006212,de_mirage,0,0,0.4821428571428571,0.0,0.06666666666666668,-1.3877787807814457e-17,0.18142935601633486,0.25133315187499117,-0.1109568845721342,-0.0790597014649182,-0.03064832841784837,-0.09079748939117638,-0.13226440328203357
hltv_2389947_104312_natus_vincere_vs_astralis_m1_nuke,1771061993.6640399,de_nuke,1,0,0.5357142857142857,-0.19798136645962738,0.06499999999999999,-0.10500000000000001,-0.18457524186551116,0.02593417783676094,-0.18014902980066966,-0.11052981717337079,0.011154069703813607,-0.021792927693165987,0.15512174339572246
hltv_2389947_104312_natus_vincere_vs_astralis_m1_nuke,1771061993.6640399,de_nuke,0,1,0.4642857142857143,-0.19798136645962738,0.06499999999999999,-0.10500000000000001,-0.18457524186551116,0.02593417783676094,-0.18014902980066966,-0.11052981717337079,0.011154069703813607,-0.021792927693165987,0.15512174339572246
hltv_2389947_104312_natus_vincere_vs_astralis_m2_mirage,1771064686.0282722,de_mirage,0,1,0.5166666666666667,-0.16504329004329005,0.01666666666666665,-0.06666666666666665,0.005563853248643058,-0.0032252953973729848,-0.07080257788017419,-0.04729185152131393,-0.03589513638123648,-0.031168036305711078,0.03579662345585879
hltv_2389947_104312_natus_vincere_vs_astralis_m2_mirage,1771064686.0282722,de_mirage,0,0,0.4833333333333333,-0.16504329004329005,0.01666666666666665,-0.06666666666666665,0.005563853248643058,-0.0032252953973729848,-0.07080257788017419,-0.04729185152131393,-0.03589513638123648,-0.031168036305711078,0.03579662345585879
hltv_2389948_104317_aurora_vs_fut_m2_anubis,1771068762.756181,de_anubis,0,1,0.65625,-0.1744851258581236,0.05,0.010714285714285704,-7.670136853760168e-05,-0.027015892767572824,-0.015094198341139231,-0.0978912933246695,-0.00486296358560967,-0.03900497685427079,-0.22567024736104602
hltv_2389948_104317_aurora_vs_fut_m2_anubis,1771068762.756181,de_anubis,0,0,0.34375,-0.1744851258581236,0.05,0.010714285714285704,-7.670136853760168e-05,-0.027015892767572824,-0.015094198341139231,-0.0978912933246695,-0.00486296358560967,-0.03900497685427079,-0.22567024736104602
hltv_2389948_104317_aurora_vs_fut_m3_overpass,1771068882.9695184,de_overpass,0,1,0.4318181818181818,-0.29485049833887045,0.039999999999999994,-0.0325,0.0015626602995394423,-0.009316398384259073,0.055479450623372784,0.030351363213567184,0.031330894058649805,0.021448962073062905,-0.08109435488264498
hltv_2389948_104317_aurora_vs_fut_m3_overpass,1771068882.9695184,de_overpass,0,0,0.5681818181818181,-0.29485049833887045,0.039999999999999994,-0.0325,0.0015626602995394423,-0.009316398384259073,0.055479450623372784,0.030351363213567184,0.031330894058649805,0.021448962073062905,-0.08109435488264498
hltv_2389950_104327_faze_vs_heroic_m1_overpass,1771078675.386639,de_overpass,1,1,0.4375,,,,,,,,,,
hltv_2389950_104327_faze_vs_heroic_m1_overpass,1771078675.386639,de_overpass,0,0,0.5625,,,,,,,,,,
hltv_2389952_104340_falcons_vs_3dmax_m1_nuke,1771087171.105233,de_nuke,0,1,0.40625,0.13157894736842102,-0.021428571428571432,-0.10714285714285714,0.15320126459263383,0.05086424736292583,0.018866917689332963,-0.018400667130562876,0.0091724667675121,0.007873670334388683,0.41632512203981104
