is_ct,form_gap,pistol_rate_gap,call_early_winrate,call_mid_winrate,call_early_alive_end,call_mid_alive_end,call_early_future_kill,call_mid_future_kill,y,mtime,key,map,p_cal
0,0.0752391293891086,-0.007649938800489586,-0.0010482915065138654,-0.002516571712017912,-0.11784630281957525,-0.03758532512184304,-0.07045173666076998,-0.055104000048383395,1,1778583887.2559502,hltv_2394143_107936_monte_vs_the_huns_m3_mirage,de_mirage,0.6243723554953602
0,-0.02911696716443555,0.017762351980400104,-0.0021592839772710537,0.019107351220064406,-0.04861767900059982,-0.035612255826709904,-0.030696945458945468,-0.029444304022824497,0,1778583891.3123326,hltv_2394142_107935_the_mongolz_vs_falcons_m3_mirage,de_mirage,0.586764839069691
1,-0.02911696716443555,0.017762351980400104,-0.0021592839772710537,0.019107351220064406,-0.04861767900059982,-0.035612255826709904,-0.030696945458945468,-0.029444304022824497,0,1778583891.3123326,hltv_2394142_107935_the_mongolz_vs_falcons_m3_mirage,de_mirage,0.5622210128920346
1,0.09283039366101026,0.12693508736961,-0.02000352677081918,-0.035744664446041796,-0.014536729203879717,-0.006151123731292729,-0.004843435679395824,-0.019168499365978864,1,1778592254.4147122,hltv_2394145_107943_parivision_vs_g2_m2_dust2,de_dust2,0.569486883879567
0,0.09283039366101026,0.12693508736961,-0.02000352677081918,-0.035744664446041796,-0.014536729203879717,-0.006151123731292729,-0.004843435679395824,-0.019168499365978864,1,1778592254.4147122,hltv_2394145_107943_parivision_vs_g2_m2_dust2,de_dust2,0.5920147496072382
1,0.06241449867479687,0.16353199804592083,0.0009710499531061512,-0.01585182923377698,-0.039837646372765045,-0.07854808628538074,-0.02628569435607897,-0.029703123693034628,1,1778592261.4684348,hltv_2394145_107943_parivision_vs_g2_m1_mirage,de_mirage,0.5977390103015527
0,0.06241449867479687,0.16353199804592083,0.0009710499531061512,-0.01585182923377698,-0.039837646372765045,-0.07854808628538074,-0.02628569435607897,-0.029703123693034628,0,1778592261.4684348,hltv_2394145_107943_parivision_vs_g2_m1_mirage,de_mirage,0.6187667623010925
0,0.04793068189784905,-0.002928321678321688,0.0022038084943161174,-0.0014467320284523022,-0.0819160815601861,-0.08667146848692092,-0.040727217897402745,-0.04217792042698354,1,1778592439.497722,hltv_2394144_107942_furia_vs_gentle_mates_m2_overpass,de_overpass,0.6105134181877983
1,0.04793068189784905,-0.002928321678321688,0.0022038084943161174,-0.0014467320284523022,-0.0819160815601861,-0.08667146848692092,-0.040727217897402745,-0.04217792042698354,0,1778592439.497722,hltv_2394144_107942_furia_vs_gentle_mates_m2_overpass,de_overpass,0.590023600643228
1,-0.06643884751304702,-0.003403755868544578,-0.013312630341473564,-0.015666095405984737,-0.0329294136346403,-0.02212917735819442,-0.01664450380874477,0.008620439215190179,1,1778596011.3118124,hltv_2394144_107942_furia_vs_gentle_mates_m3_inferno,de_inferno,0.5343045631357843
0,-0.06643884751304702,-0.003403755868544578,-0.013312630341473564,-0.015666095405984737,-0.0329294136346403,-0.02212917735819442,-0.01664450380874477,0.008620439215190179,0,1778596011.3118124,hltv_2394144_107942_furia_vs_gentle_mates_m3_inferno,de_inferno,0.5529422750690287
