key,y,mtime,form_a,form_b,c2_n_a,c2_n_b,c1_early_winrate_gap,c1_mid_winrate_gap,c1_early_alive_end_gap,c1_mid_alive_end_gap,c1_early_future_kill_gap,c1_mid_future_kill_gap,c2_early_winrate_gap,c2_mid_winrate_gap,c2_early_alive_end_gap,c2_mid_alive_end_gap,c2_early_future_kill_gap,c2_mid_future_kill_gap
hltv_2394156_108087_spirit_vs_falcons_m3_ancient,0,1779027592.3799417,0.01762160134981941,0.11853078525264024,5,5,0.0023837586817646583,-0.09750064173783735,-0.16881984030511382,-0.2821793338045424,-0.09287660309570872,-0.12258082928116643,0.03922446813775682,0.01378659005471733,0.0036836613429478415,-0.0018070749820793819,-0.013108832925815161,-0.013905464731810535
hltv_2394177_108090_legacy_vs_betboom_m2_nuke,0,1779035127.0,-0.029141134907499467,0.0704516609506113,5,5,-0.0030582376072991746,-0.020643643916932353,-0.1517300024268186,-0.306152110208164,-0.10028720776630612,-0.14993196210946635,-0.04570644619269437,0.01138141090760414,-0.051557505067341636,-0.04993525878070182,0.009872293910047514,-0.0015029641911022407
hltv_2394178_108099_gamerlegion_vs_natus_vincere_m2_anubis,0,1779048754.0,-0.053988310242418736,0.0584693736501452,5,5,-0.006832858477598847,-0.017976290013072882,0.046887312857182284,-0.024870306955041832,0.02365260603395053,0.009613783892123973,-0.03940982403112303,-0.03636170619911405,-0.017777227667819195,-0.029883423356223404,0.0033313107056622826,-0.0019041773006818197
hltv_2394178_108099_gamerlegion_vs_natus_vincere_m3_nuke,0,1779053733.0,-0.07283164779411709,0.06237977055999344,5,5,0.008008863649499376,0.15818746596164152,0.14614391662767712,0.15439159238402433,0.08070792140697602,0.08122652705590694,-0.03219378016336971,-0.027929040485309198,-0.018507382461225907,-0.03103852237143634,0.0022317786193057354,-0.0027942692855580376
hltv_2394225_108264_falcons_vs_mouz_m3_nuke,1,1779540552.0,0.009503767414038305,-0.022649051782388425,5,5,-0.0026667088249229254,-0.008386952020930982,0.17404664685856647,0.2858470698875063,0.11281904362039952,0.15010868625422208,0.008879707909694723,0.03292843270173862,0.008712194096972437,0.01266532008728033,0.0014753364263877522,0.0013496580592227136
hltv_2394853_108687_tyloo_vs_sinners_m1_ancient,0,1780501542.0,-0.0779615414697118,-0.18356456503355162,5,4,0.0004955355247681092,0.0807775130265459,0.25534996194905707,0.3328006381483134,0.09384516235542362,0.13839549845508203,0.002176212066469674,0.026667172764998304,0.030744031030000563,-0.00022336236257480824,0.0033196293069252536,0.0031009843294979023
hltv_2394852_108686_gamerlegion_vs_betboom_m2_ancient,0,1780504170.0,-0.0732322386710097,0.025975486403260736,5,4,-0.0031067691491194482,0.03059202304313302,0.18158130090528202,0.19966531187413933,0.07971332958714938,0.09113381754512861,0.023354398970887535,0.04226272340784332,0.01618129179215011,0.032620780882520795,-0.00307395903994645,0.009171826286287266
hltv_2394853_108687_tyloo_vs_sinners_m2_inferno,0,1780505125.0,-0.0779615414697118,-0.18356456503355162,5,5,-0.014876571766364366,-0.07342113633327751,-0.14667341754899227,-0.0767095632941065,-0.053682939592789414,-0.04285159443474762,-0.007773212370129623,0.01112138527718498,0.03495936642880104,0.017951470345855314,0.01172871193123376,0.0040375190523616045
hltv_2394855_108690_gaimin_gladiators_vs_heroic_m1_dust2,0,1780508979.0,,-0.17151064068973904,3,5,5.0485722356552465e-05,-0.015335845173706064,-0.01085783137519225,0.06025049919483094,0.00031208354434808516,0.04330499086295203,0.061859484296031164,0.003808187874532687,0.003554033331492179,0.002378489563175934,-0.007607757764204193,-0.027322983672114276
hltv_2394854_108693_m80_vs_b8_m1_ancient,0,1780509568.0,,-0.036937607138712664,5,5,0.006618674667491331,-0.05722940676078059,-0.1890704245593976,-0.20556134191871428,-0.08959656020571072,-0.09676394601264715,0.1042159365283879,0.045185772337543006,0.002454445156783447,0.0028871018756995714,-0.03220618049011448,-0.010688305681674004
