key,mtime,y,is_ct,pistol_rate_gap,pistol_rate_top,call_early_winrate,call_mid_winrate,call_early_alive_end,call_mid_alive_end,call_early_future_kill,call_mid_future_kill,cpist_early_winrate,cpist_mid_winrate,cpist_early_alive_end,cpist_mid_alive_end,cpist_early_future_kill,cpist_mid_future_kill,form_gap
hltv_2389666_104141_furia_vs_vitality_m3_nuke,1770576742.0,0,0,0.17448512585812354,0.5657894736842105,-0.15098947788166733,-0.020700530274176954,-0.07921428839695294,-0.05207360801638122,0.05823950941342282,-0.017101270847758365,-0.2593715637638456,-0.0874593669512741,-0.02956403378929412,-0.06504239618051938,0.04558197466153946,-0.010416359221469884,-0.33685889847343337
hltv_2389666_104141_furia_vs_vitality_m3_nuke,1770576742.0,0,1,0.17448512585812354,0.5657894736842105,-0.15098947788166733,-0.020700530274176954,-0.07921428839695294,-0.05207360801638122,0.05823950941342282,-0.017101270847758365,-0.2593715637638456,-0.0874593669512741,-0.02956403378929412,-0.06504239618051938,0.04558197466153946,-0.010416359221469884,-0.33685889847343337
hltv_2389666_104141_furia_vs_vitality_m4_overpass,1770581733.0,0,1,0.0,0.5,0.004525364594297976,-0.00498854275913474,-0.1403698777208271,-0.23584238873030966,-0.08748150018427714,-0.12327128891455408,0.016615811904133082,-0.008664033724018444,-0.01745993603760776,-0.06954168906387526,-0.014304193658765008,-0.02928920276879915,-0.4683112407194617
hltv_2389666_104141_furia_vs_vitality_m4_overpass,1770581733.0,1,0,0.0,0.5,0.004525364594297976,-0.00498854275913474,-0.1403698777208271,-0.23584238873030966,-0.08748150018427714,-0.12327128891455408,0.016615811904133082,-0.008664033724018444,-0.01745993603760776,-0.06954168906387526,-0.014304193658765008,-0.02928920276879915,-0.4683112407194617
hltv_2389948_104317_aurora_vs_fut_m1_mirage,1771061989.6006212,0,1,0.0,0.5,0.18142935601633486,0.25133315187499117,-0.11095688457213432,-0.07905970146491814,-0.03064832841784837,-0.09079748939117638,0.12694834649866327,0.2883195663210233,-0.032468210612733917,-0.012885261422644179,-0.04416681501384845,0.020213187174997427,-0.13226440328203357
hltv_2389948_104317_aurora_vs_fut_m1_mirage,1771061989.6006212,0,0,0.0,0.5,0.18142935601633486,0.25133315187499117,-0.11095688457213432,-0.07905970146491814,-0.03064832841784837,-0.09079748939117638,0.12694834649866327,0.2883195663210233,-0.032468210612733917,-0.012885261422644179,-0.04416681501384845,0.020213187174997427,-0.13226440328203357
hltv_2389947_104312_natus_vincere_vs_astralis_m1_nuke,1771061993.6640399,1,0,-0.19798136645962738,0.6086956521739131,-0.18457524186551105,0.02593417783676094,-0.1801490298006696,-0.11052981717337085,0.011154069703813552,-0.02179292769316593,-0.2462274236927725,0.13789517164905907,-0.12729846438431935,-5.676389207068255e-05,0.06143552773668548,-0.004645313646010452,0.15512174339572246
hltv_2389947_104312_natus_vincere_vs_astralis_m1_nuke,1771061993.6640399,0,1,-0.19798136645962738,0.6086956521739131,-0.18457524186551105,0.02593417783676094,-0.1801490298006696,-0.11052981717337085,0.011154069703813552,-0.02179292769316593,-0.2462274236927725,0.13789517164905907,-0.12729846438431935,-5.676389207068255e-05,0.06143552773668548,-0.004645313646010452,0.15512174339572246
hltv_2389947_104312_natus_vincere_vs_astralis_m2_mirage,1771064686.0282722,0,1,-0.16504329004329005,0.5892857142857143,0.005563853248643058,-0.003225295397373096,-0.07080257788017424,-0.04729185152131399,-0.03589513638123648,-0.031168036305711078,-0.001849732198885623,-0.008301025136872309,0.0323826249901738,0.013581725909563913,0.019790158237729727,0.01968714751459366,0.03579662345585879
hltv_2389947_104312_natus_vincere_vs_astralis_m2_mirage,1771064686.0282722,0,0,-0.16504329004329005,0.5892857142857143,0.005563853248643058,-0.003225295397373096,-0.07080257788017424,-0.04729185152131399,-0.03589513638123648,-0.031168036305711078,-0.001849732198885623,-0.008301025136872309,0.0323826249901738,0.013581725909563913,0.019790158237729727,0.01968714751459366,0.03579662345585879
hltv_2389948_104317_aurora_vs_fut_m2_anubis,1771068762.756181,0,1,-0.1744851258581236,0.6086956521739131,-7.670136853760168e-05,-0.027015892767572935,-0.015094198341139231,-0.0978912933246695,-0.00486296358560967,-0.039004976854270845,-0.004168411913753167,-0.018152294287205495,0.02633855617353642,-0.034848602734333184,0.04568737595054018,0.01552094418293326,-0.22567024736104602
