event_id,round_num,streak_team,fade_team,kill_count,event_start_ts,decision_ts,entry_quote_ts,reaction_mid_change,reaction_threshold,triggered,entry_ask,timing_basis,horizon_seconds,exit_quote_ts,exit_bid,gross_pnl,net_pnl
16,14,NRG,MOUZ,3,1789640846.971,1789640847.933,1789640852.0026495,0.010000000000000009,0.03,False,0.35,source_update_version,60.0,1789640912.2140057,0.3,-0.04999999999999999,-0.07187499999999998
16,14,NRG,MOUZ,3,1789640846.971,1789640847.933,1789640852.0026495,0.010000000000000009,0.03,False,0.35,source_update_version,120.0,1789640974.8480568,0.25,-0.09999999999999998,-0.12074999999999997
17,15,NRG,MOUZ,2,1789640955.224,1789640957.422,1789640960.430703,0.019999999999999907,0.03,False,0.31,source_update_version,15.0,1789640975.9998214,0.25,-0.06,-0.08007
17,15,NRG,MOUZ,2,1789640955.224,1789640957.422,1789640960.430703,0.019999999999999907,0.03,False,0.31,source_update_version,30.0,1789640992.6429026,0.25,-0.06,-0.08007
17,15,NRG,MOUZ,2,1789640955.224,1789640957.422,1789640960.430703,0.019999999999999907,0.03,False,0.31,source_update_version,60.0,1789641020.562148,0.24,-0.07,-0.089815
17,15,NRG,MOUZ,2,1789640955.224,1789640957.422,1789640960.430703,0.019999999999999907,0.03,False,0.31,source_update_version,120.0,1789641091.994243,0.13,-0.18,-0.19635
18,15,NRG,MOUZ,3,1789640960.285,1789640967.354,1789640969.4039166,0.039999999999999925,0.03,True,0.29,source_update_version,15.0,1789640992.6429026,0.25,-0.03999999999999998,-0.05966999999999998
18,15,NRG,MOUZ,3,1789640960.285,1789640967.354,1789640969.4039166,0.039999999999999925,0.03,True,0.29,source_update_version,30.0,1789641000.0216084,0.23,-0.05999999999999997,-0.07914999999999997
18,15,NRG,MOUZ,3,1789640960.285,1789640967.354,1789640969.4039166,0.039999999999999925,0.03,True,0.29,source_update_version,60.0,1789641029.7666397,0.23,-0.05999999999999997,-0.07914999999999997
18,15,NRG,MOUZ,3,1789640960.285,1789640967.354,1789640969.4039166,0.039999999999999925,0.03,True,0.29,source_update_version,120.0,1789641091.994243,0.13,-0.15999999999999998,-0.17594999999999997
19,16,NRG,MOUZ,2,1789641094.742,1789641098.676,1789641104.9950278,0.015000000000000013,0.03,False,0.14,source_update_version,15.0,1789641120.8933918,0.13,-0.010000000000000009,-0.02167500000000001
19,16,NRG,MOUZ,2,1789641094.742,1789641098.676,1789641104.9950278,0.015000000000000013,0.03,False,0.14,source_update_version,30.0,1789641135.9953048,0.12,-0.020000000000000018,-0.03130000000000002
19,16,NRG,MOUZ,2,1789641094.742,1789641098.676,1789641104.9950278,0.015000000000000013,0.03,False,0.14,source_update_version,60.0,1789641186.86063,0.12,-0.020000000000000018,-0.03130000000000002
19,16,NRG,MOUZ,2,1789641094.742,1789641098.676,1789641104.9950278,0.015000000000000013,0.03,False,0.14,source_update_version,120.0,1789641236.9967964,0.08,-0.06000000000000001,-0.06970000000000001
20,17,NRG,MOUZ,2,1789641226.52,1789641227.606,1789641236.9967964,0.015000000000000013,0.03,False,0.12,source_update_version,15.0,1789641252.2776349,0.12,0.0,-0.01056
20,17,NRG,MOUZ,2,1789641226.52,1789641227.606,1789641236.9967964,0.015000000000000013,0.03,False,0.12,source_update_version,30.0,1789641269.7476933,0.14,0.020000000000000018,0.008700000000000017
20,17,NRG,MOUZ,2,1789641226.52,1789641227.606,1789641236.9967964,0.015000000000000013,0.03,False,0.12,source_update_version,60.0,1789641297.120187,0.13,0.010000000000000009,-0.0009349999999999914
20,17,NRG,MOUZ,2,1789641226.52,1789641227.606,1789641236.9967964,0.015000000000000013,0.03,False,0.12,source_update_version,120.0,1789641360.0239995,0.15,0.03,0.018345
21,17,NRG,MOUZ,3,1789641234.431,1789641245.852,1789641248.1187685,0.030000000000000027,0.03,True,0.09,source_update_version,15.0,1789641269.7476933,0.14,0.05000000000000002,0.03988500000000002
21,17,NRG,MOUZ,3,1789641234.431,1789641245.852,1789641248.1187685,0.030000000000000027,0.03,True,0.09,source_update_version,30.0,1789641279.3169668,0.16,0.07,0.059185
21,17,NRG,MOUZ,3,1789641234.431,1789641245.852,1789641248.1187685,0.030000000000000027,0.03,True,0.09,source_update_version,60.0,1789641308.1796546,0.14,0.05000000000000002,0.03988500000000002
21,17,NRG,MOUZ,3,1789641234.431,1789641245.852,1789641248.1187685,0.030000000000000027,0.03,True,0.09,source_update_version,120.0,1789641370.2643769,0.15,0.06,0.04953
22,18,MOUZ,NRG,3,1789641282.04,1789641286.915,1789641288.9955945,-0.014999999999999986,0.03,False,0.87,source_update_version,15.0,1789641304.3636594,0.84,-0.030000000000000027,-0.04237500000000003
22,18,MOUZ,NRG,3,1789641282.04,1789641286.915,1789641288.9955945,-0.014999999999999986,0.03,False,0.87,source_update_version,30.0,1789641319.4676013,0.81,-0.05999999999999994,-0.07334999999999993
22,18,MOUZ,NRG,3,1789641282.04,1789641286.915,1789641288.9955945,-0.014999999999999986,0.03,False,0.87,source_update_version,60.0,1789641349.9565363,0.82,-0.050000000000000044,-0.06303500000000005
22,18,MOUZ,NRG,3,1789641282.04,1789641286.915,1789641288.9955945,-0.014999999999999986,0.03,False,0.87,source_update_version,120.0,1789641414.9948242,0.66,-0.20999999999999996,-0.22687499999999997
